name,short_name,age
Tommy,Lufkin,84
Karry,Cranidge,65
Ruddie,Ducaen,83
Candida,Fenemore,81
Burgess,Waldrum,48
Rhett,Cotterill,48
Tabor,Quilliam,81
Barret,Asher,80
Geri,Divver,31
Dallas,Ladson,27
Opal,Jacobsson,42
Cesare,Pepperill,72
Huberto,Allner,33
Darryl,McPhelimy,50
Renie,Fortie,33
Marya,Sanney,97
Bryna,Thomasen,17
Henrik,Docket,75
Blondelle,Bankes,57
Sheridan,Goundsy,40
Brodie,Dessent,19
Daryle,Rees,3
Huntlee,Bushrod,72
Caterina,Glassard,85
Wally,Vose,66
Merrilee,Carnson,14
Rina,Watchorn,87
Ettore,Edkins,42
Erena,Mellmoth,94
Olly,Stood,56
Son,Trussler,11
Micah,Nerne,97
Isabelle,Poleykett,26
Judd,Beamish,56
Clayton,Surmeyer,69
Dorey,Lower,49
Celestine,Longbottom,51
Lawrence,Doy,75
Paxon,Brandin,65
Mathian,De Dantesie,14
Lisa,Nunson,40
Benedetta,Schouthede,24
Leland,Bewick,34
Maison,Vardey,9
Weidar,Peyton,72
Frederick,Gerritzen,44
Genovera,Meran,51
Diannne,Mundee,33
Adora,Wardlaw,10
Lila,Scarsbrook,55
Winnah,Bolzen,86
Krishnah,Christoffels,38
Alonzo,Pummery,87
Markos,Hannond,97
Elissa,Enos,44
Hunter,Vamplers,99
Yorgo,Cardew,77
Noemi,Yakunin,50
Staford,Mixer,95
Alayne,Gaddas,77
Lezlie,Cremer,24
Kennedy,Ruckhard,20
Peirce,Croshaw,66
Hector,Gino,22
Marie-ann,MacNamee,38
Mag,Derrell,55
Jonis,Smy,84
Lesya,Rice,89
Burgess,Prettejohns,22
Jenica,Sweett,98
Wileen,Kaesmans,99
Kristyn,Wardhough,83
Danit,Rudeforth,74
Spike,Adriani,67
Trescha,Sillitoe,9
Dix,Wetherhead,47
Davina,Jacobsz,9
Tomi,Ronaghan,72
Gaile,Titchener,70
Riva,Chadwyck,19
Aridatha,Croson,52
Ashlee,Raphael,80
